call_sign,facility_id,service,licensee,status,details
KKFT,9136,FM,"EVANS BROADCAST COMPANY, INC.",LICENSED,Click for Details
KKGO,43939,FM,"MOUNT WILSON FM BROADCASTERS, INC.",LICENSED,Click for Details
KKHH,25449,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KKJZ,8197,FM,"CALIFORNIA STATE UNIV., LONG BEACH RESEARCH FOUNDATION",LICENSED,Click for Details
KKLI,67187,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KKLQ,70038,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KKMG,11229,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KKMJ-FM,66489,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KKMY,62239,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KKRV,28635,FM,Alpha Media Licensee LLC,LICENSED,Click for Details
KKRZ,11280,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KKSE-FM,59972,FM,"KSE RADIO VENTURES, LLC",LICENSED,Click for Details
KKTH,65704,FM,Delmarva Educational Association,LICENSED,Click for Details
KKTR,92738,FM,TRUMAN STATE UNIVERSITY,LICENSED,Click for Details
KKUT,41895,FM,SANPETE COUNTY BROADCASTING CO.,LICENSED,Click for Details
KKUU,11658,FM,Alpha Media Licensee LLC Debtor in Possession,LICENSED,Click for Details
KKVT,81556,FM,"MBC GRAND BROADCASTING, INC.",LICENSED,Click for Details
KKVU,162327,FM,"MISSOULA BROADCASTING COMPANY, LLC",LICENSED,Click for Details
KKWD,6509,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KKXT,55768,FM,"NORTH TEXAS PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
