yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
1876,female,99,95,150,1.9,311,386,0.4829,0.611,0.389,0.6014
1876,female,99,median,150,1.9,311,386,0.4829,0.611,0.389,0.6014
1876,female,100,5,98,1.9,187,236,0.5228,0.5855,0.4145,0.5934
1876,female,100,95,98,1.9,187,236,0.5228,0.5855,0.4145,0.5934
1876,female,100,median,98,1.9,187,236,0.5228,0.5855,0.4145,0.5934
1876,male,0,5,14409,50.4,90505,100000,0.1592,0.8559,0.1441,0.93
1876,male,0,95,14409,50.4,90505,100000,0.1592,0.8559,0.1441,0.93
1876,male,0,median,14409,50.4,90505,100000,0.1592,0.8559,0.1441,0.93
1876,male,1,5,2852,57.8,84165,85591,0.0339,0.9667,0.0333,0.9752
1876,male,1,95,2852,57.8,84165,85591,0.0339,0.9667,0.0333,0.9752
1876,male,1,median,2852,57.8,84165,85591,0.0339,0.9667,0.0333,0.9752
1876,male,2,5,1320,58.8,82079,82739,0.0161,0.984,0.016,0.9863
1876,male,2,95,1320,58.8,82079,82739,0.0161,0.984,0.016,0.9863
1876,male,2,median,1320,58.8,82079,82739,0.0161,0.984,0.016,0.9863
1876,male,3,5,931,58.8,80954,81419,0.0115,0.9886,0.0114,0.9898
1876,male,3,95,931,58.8,80954,81419,0.0115,0.9886,0.0114,0.9898
1876,male,3,median,931,58.8,80954,81419,0.0115,0.9886,0.0114,0.9898
1876,male,4,5,727,58.4,80124,80488,0.0091,0.991,0.009,0.9913
1876,male,4,95,727,58.4,80124,80488,0.0091,0.991,0.009,0.9913
1876,male,4,median,727,58.4,80124,80488,0.0091,0.991,0.009,0.9913
1876,male,5,5,672,58,79425,79761,0.0085,0.9916,0.0084,0.9923
1876,male,5,95,672,58,79425,79761,0.0085,0.9916,0.0084,0.9923
1876,male,5,median,672,58,79425,79761,0.0085,0.9916,0.0084,0.9923
1876,male,6,5,556,57.5,78810,79089,0.0071,0.993,0.007,0.9937
1876,male,6,95,556,57.5,78810,79089,0.0071,0.993,0.007,0.9937
1876,male,6,median,556,57.5,78810,79089,0.0071,0.993,0.007,0.9937
1876,male,7,5,438,56.9,78313,78532,0.0056,0.9944,0.0056,0.9945
1876,male,7,95,438,56.9,78313,78532,0.0056,0.9944,0.0056,0.9945
1876,male,7,median,438,56.9,78313,78532,0.0056,0.9944,0.0056,0.9945
1876,male,8,5,421,56.2,77884,78095,0.0054,0.9946,0.0054,0.9949
1876,male,8,95,421,56.2,77884,78095,0.0054,0.9946,0.0054,0.9949
1876,male,8,median,421,56.2,77884,78095,0.0054,0.9946,0.0054,0.9949
1876,male,9,5,379,55.5,77484,77673,0.0049,0.9951,0.0049,0.9954
1876,male,9,95,379,55.5,77484,77673,0.0049,0.9951,0.0049,0.9954
1876,male,9,median,379,55.5,77484,77673,0.0049,0.9951,0.0049,0.9954
1876,male,10,5,332,54.8,77128,77294,0.0043,0.9957,0.0043,0.9959
1876,male,10,95,332,54.8,77128,77294,0.0043,0.9957,0.0043,0.9959
1876,male,10,median,332,54.8,77128,77294,0.0043,0.9957,0.0043,0.9959
1876,male,11,5,299,54,76812,76962,0.0039,0.9961,0.0039,0.9962
